rating,comment,comment_length,exclamation_count,is_fake
3,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
3,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
5,"El material se siente premium, pero el precio me parece un poco elevado para lo que es.",87,0,0
5,Se lava fácil y no ha perdido color después de varios lavados.,62,0,0
5,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
3,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
5,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
3,"Me encantó el corte, se ajusta bien al cuerpo sin quedar apretado.",66,0,0
4,"Lo compré para un evento y quedé encantada, aunque la manga es un poco larga para mi gusto.",91,0,0
4,"Me encantó el corte, se ajusta bien al cuerpo sin quedar apretado.",66,0,0
3,"El material se siente premium, pero el precio me parece un poco elevado para lo que es.",87,0,0
4,Se lava fácil y no ha perdido color después de varios lavados.,62,0,0
3,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
5,Se lava fácil y no ha perdido color después de varios lavados.,62,0,0
5,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
3,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
3,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
5,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
3,"El material se siente premium, pero el precio me parece un poco elevado para lo que es.",87,0,0
4,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
3,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
4,"Lo compré para un evento y quedé encantada, aunque la manga es un poco larga para mi gusto.",91,0,0
4,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
4,"El material se siente premium, pero el precio me parece un poco elevado para lo que es.",87,0,0
5,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
3,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
5,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
4,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
4,"La tela es de muy buena calidad, me quedó justo en talla XL. El color es igual al de las fotos.",95,0,0
4,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
4,"Me encantó el corte, se ajusta bien al cuerpo sin quedar apretado.",66,0,0
4,Se lava fácil y no ha perdido color después de varios lavados.,62,0,0
4,"Lo compré para un evento y quedé encantada, aunque la manga es un poco larga para mi gusto.",91,0,0
4,"Lo compré para un evento y quedé encantada, aunque la manga es un poco larga para mi gusto.",91,0,0
4,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
4,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
3,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
3,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
5,"Lo compré para un evento y quedé encantada, aunque la manga es un poco larga para mi gusto.",91,0,0
4,"El material se siente premium, pero el precio me parece un poco elevado para lo que es.",87,0,0
3,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
3,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
5,"La tela es de muy buena calidad, me quedó justo en talla S. El color es igual al de las fotos.",94,0,0
3,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
5,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
3,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
5,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
3,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
4,"El material se siente premium, pero el precio me parece un poco elevado para lo que es.",87,0,0
4,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
5,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
4,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
5,"La tela es de muy buena calidad, me quedó justo en talla XL. El color es igual al de las fotos.",95,0,0
4,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
3,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
4,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
3,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
3,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
3,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
4,"El material se siente premium, pero el precio me parece un poco elevado para lo que es.",87,0,0
5,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
5,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
5,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
4,Se lava fácil y no ha perdido color después de varios lavados.,62,0,0
5,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
3,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
3,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
4,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
5,"El material se siente premium, pero el precio me parece un poco elevado para lo que es.",87,0,0
3,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
3,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
5,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
4,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
4,"Lo compré para un evento y quedé encantada, aunque la manga es un poco larga para mi gusto.",91,0,0
3,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
4,"Me encantó el corte, se ajusta bien al cuerpo sin quedar apretado.",66,0,0
5,Se lava fácil y no ha perdido color después de varios lavados.,62,0,0
5,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
3,"La tela es de muy buena calidad, me quedó justo en talla S. El color es igual al de las fotos.",94,0,0
3,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
5,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
4,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
5,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
4,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
3,"El material se siente premium, pero el precio me parece un poco elevado para lo que es.",87,0,0
4,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
5,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
3,"Me encantó el corte, se ajusta bien al cuerpo sin quedar apretado.",66,0,0
3,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
4,"La tela es de muy buena calidad, me quedó justo en talla M. El color es igual al de las fotos.",94,0,0
4,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
3,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
3,"El material se siente premium, pero el precio me parece un poco elevado para lo que es.",87,0,0
3,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
4,"La tela es de muy buena calidad, me quedó justo en talla M. El color es igual al de las fotos.",94,0,0
5,"Me encantó el corte, se ajusta bien al cuerpo sin quedar apretado.",66,0,0
3,"El material se siente premium, pero el precio me parece un poco elevado para lo que es.",87,0,0
4,"La tela es de muy buena calidad, me quedó justo en talla L. El color es igual al de las fotos.",94,0,0
3,"Lo compré para un evento y quedé encantada, aunque la manga es un poco larga para mi gusto.",91,0,0
4,Se lava fácil y no ha perdido color después de varios lavados.,62,0,0
5,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
5,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
4,"La tela es de muy buena calidad, me quedó justo en talla L. El color es igual al de las fotos.",94,0,0
3,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
4,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
4,"Me encantó el corte, se ajusta bien al cuerpo sin quedar apretado.",66,0,0
5,"La tela es de muy buena calidad, me quedó justo en talla S. El color es igual al de las fotos.",94,0,0
3,"Me encantó el corte, se ajusta bien al cuerpo sin quedar apretado.",66,0,0
5,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
5,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
5,Se lava fácil y no ha perdido color después de varios lavados.,62,0,0
5,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
3,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
5,"La tela es de muy buena calidad, me quedó justo en talla XL. El color es igual al de las fotos.",95,0,0
3,"Lo compré para un evento y quedé encantada, aunque la manga es un poco larga para mi gusto.",91,0,0
3,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
5,"Lo compré para un evento y quedé encantada, aunque la manga es un poco larga para mi gusto.",91,0,0
5,Se lava fácil y no ha perdido color después de varios lavados.,62,0,0
4,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
3,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
3,"Lo compré para un evento y quedé encantada, aunque la manga es un poco larga para mi gusto.",91,0,0
3,"El material se siente premium, pero el precio me parece un poco elevado para lo que es.",87,0,0
3,"La talla me quedó un poco grande, tuve que hacer un ajuste con la costurera.",76,0,0
5,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
5,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
4,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
3,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
5,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
4,"La tela es de muy buena calidad, me quedó justo en talla XL. El color es igual al de las fotos.",95,0,0
4,"Excelente para el trabajo, versátil y cómodo durante todo el día.",65,0,0
4,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
5,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
3,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
4,"Lo compré para un evento y quedé encantada, aunque la manga es un poco larga para mi gusto.",91,0,0
4,"Lo compré para un evento y quedé encantada, aunque la manga es un poco larga para mi gusto.",91,0,0
5,"Me encantó el corte, se ajusta bien al cuerpo sin quedar apretado.",66,0,0
3,"El color en persona es un poco más oscuro que en la foto, pero aun así me gustó.",80,0,0
3,"Es mi segunda compra de esta marca, siempre cumplen con la calidad prometida.",77,0,0
5,"El material se siente premium, pero el precio me parece un poco elevado para lo que es.",87,0,0
3,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
5,"La tela es de muy buena calidad, me quedó justo en talla XL. El color es igual al de las fotos.",95,0,0
4,Buen producto pero tardó más de lo esperado en llegar. La calidad sí es buena.,78,0,0
